ndata,sigma,theta_median,theta_iqrs,quartiles1,quartiles3,theta_coverage
50,20.0,149.42079250351603,2.8952360360252385,148.1751880469757,151.07042408300094,true
50,20.0,149.64292940164597,2.8781624447288436,148.41456936881934,151.2927318135482,true
50,20.0,150.71772940558577,2.517835098124806,149.71825146732118,152.236086565446,true
50,20.0,150.19180613583933,2.4052836909197026,149.2298238894674,151.6351075803871,true
50,20.0,152.11652627003323,3.226417223816213,150.73185323477605,153.95827045859227,false
50,20.0,150.0137288842398,3.1892785349382677,148.64185065080042,151.8311291857387,true
50,20.0,147.32248246747648,2.760285439092229,146.18950753643256,148.9497929755248,false
50,20.0,148.79932883093517,2.9822618503322644,147.497900361336,150.48016221166827,true
50,20.0,151.10091161201626,3.5398104098408965,149.5808212945361,153.120631704377,true
50,20.0,148.98498130322437,2.699587547012271,147.86060399258676,150.56019153959903,true
50,20.0,148.97151466319127,3.330688881016414,147.50873938632455,150.83942826734096,true
50,20.0,146.14567453772918,3.058218923225837,144.88423043337497,147.9424493566008,false
50,20.0,149.18310308173182,2.170994284111032,148.30109034801796,150.472084632129,true
50,20.0,147.03384605435932,2.7108150388524166,145.9031411886369,148.61395622748933,false
50,20.0,152.62441181308435,2.9164053685642273,151.35422075214282,154.27062612070705,false
50,20.0,151.83231729041842,3.018578259940057,150.58815528647074,153.6067335464108,false
50,20.0,151.7696270800341,3.5428394013060256,150.28786942743827,153.8307088287443,false
50,20.0,147.65916176517794,2.5894546645109244,146.5986673476524,149.18812201216332,false
50,20.0,151.16959474625259,2.7716740698923843,150.03062581992657,152.80229988981895,false
50,20.0,148.18393301972986,2.852660776695984,146.9606252216001,149.8132859982961,false
50,20.0,145.59311849214907,3.047854942553329,144.2573708044785,147.30522574703184,false
50,20.0,151.34068685503448,3.2155078052729493,149.9849137813851,153.20042158665805,true
50,20.0,145.447132075156,3.0005852148026975,144.18049575165637,147.18108096645906,false
50,20.0,148.16232432396848,2.8762203375238755,146.96362854057512,149.839848878099,false
50,20.0,148.6390902262701,2.6500595341240967,147.53998545023538,150.19004498435947,true
50,20.0,149.04234519905128,2.3134028387410126,148.14513273834842,150.45853557708944,true
50,20.0,147.77974340460395,3.2316171437413743,146.39418081522567,149.62579795896704,false
50,20.0,151.83842102460397,3.491654654028764,150.31413550072966,153.80579015475843,false
50,20.0,149.40726106096375,2.8582320175835605,148.23108063951074,151.0893126570943,true
50,20.0,150.70779381046486,2.9311999481057,149.47195874167483,152.40315868978053,true
50,20.0,151.77502713684999,3.109735178567149,150.45661092985387,153.56634610842102,false
50,20.0,148.6415921774858,3.073342726363478,147.32690365713285,150.40024638349632,true
50,20.0,151.24835031534326,2.68206117413402,150.1456031525575,152.82766432669152,false
50,20.0,147.47358181475835,3.4488653700740883,145.98073314296067,149.42959851303476,false
50,20.0,150.29461937250588,3.4903744291007115,148.768985091935,152.25935952103572,true
50,20.0,144.90851674052624,2.9742484853302926,143.59005330074496,146.56430178607525,false
50,20.0,150.20819482442496,3.485453905461611,148.72702136975812,152.21247527521973,true
50,20.0,153.59259564191234,3.937037863141313,151.9411423664107,155.87818022955202,false
50,20.0,149.46429905520745,2.791997875368196,148.29373963403103,151.08573750939922,true
50,20.0,151.16479237990643,2.8125344555779748,149.98360818884282,152.7961426444208,true
50,20.0,152.82042020131706,3.463305113661704,151.3067827036616,154.77008781732331,false
50,20.0,148.73721828682739,2.9519846029223515,147.50329982222968,150.45528442515203,true
50,20.0,150.812209727262,3.750518174135749,149.1529107394752,152.90342891361095,true
50,20.0,148.85394731126243,2.9094645404335893,147.60513913010445,150.51460367053804,true
50,20.0,153.36222698309618,3.968885176959077,151.618944158868,155.58782933582708,false
50,20.0,143.65870269345447,3.6173288225734836,142.0193893584363,145.6367181810098,false
50,20.0,147.06622001581889,2.92873254129492,145.84516652297265,148.77389906426757,false
50,20.0,150.67713377246076,3.2882908186304007,149.28582359754625,152.57411441617666,true
50,20.0,150.92151572443046,2.9760900446457015,149.65321459002772,152.62930463467342,true
50,20.0,152.31970806556194,3.053432509410868,151.05473090013646,154.10816340954733,false
50,20.0,152.14552239965673,3.233896288779789,150.80357222657491,154.0374685153547,false
50,20.0,150.50642052571337,2.9967881498017164,149.30264785715423,152.29943600695594,true
50,20.0,150.2774681888396,2.5946569828925306,149.23690215299524,151.83155913588777,true
50,20.0,148.6818815839571,2.847121940160349,147.51559518962594,150.3627171297863,true
50,20.0,150.8749387214388,3.3438576036550955,149.47683481283758,152.82069241649268,true
50,20.0,147.80410079876302,2.4014506664217095,146.8499346525072,149.2513853189289,false
50,20.0,144.5098117300026,3.1398579558194513,143.12328236031254,146.263140316132,false
50,20.0,151.1777024096828,2.706369869000639,149.96405777099335,152.670427639994,true
50,20.0,149.67287508036065,2.5977049355776103,148.58690812701587,151.18461306259348,true
50,20.0,152.43317253534508,2.9005982789495306,151.19632849974653,154.09692677869606,false
50,20.0,151.31920621041468,3.0906154004122754,150.0319966243185,153.12261202473078,false
50,20.0,151.19022742924165,2.936600259714112,149.97596730085274,152.91256756056686,true
50,20.0,148.5579166818494,2.8812210536928546,147.39314109924612,150.27436215293898,true
50,20.0,151.1276663093,2.149668889731146,150.27976857553662,152.42943746526777,false
50,20.0,145.64622953725066,2.70420407809047,144.546281781498,147.25048585958848,false
50,20.0,151.5326376870841,2.9342331593080075,150.34505330837828,153.2792864676863,false
50,20.0,149.34828583716705,2.7108272040354677,148.20405951875438,150.91488672278984,true
50,20.0,150.26637005304204,3.3836842516122942,148.7776977671965,152.1613820188088,true
50,20.0,148.9675269299602,3.402390673947991,147.47526165036498,150.87765232431298,true
50,20.0,151.45685041491032,2.359042546629354,150.50579652497785,152.8648390716072,false
50,20.0,150.2304043098847,2.9295412533910508,149.0240014045857,151.95354265797675,true
50,20.0,148.74187147914256,3.306727532152337,147.2428784378046,150.54960596995693,true
50,20.0,150.31149599421073,2.995056998444113,149.06195838091207,152.0570153793562,true
50,20.0,149.63646031283406,2.7719837385320716,148.5236548728773,151.29563861140937,true
50,20.0,147.7740969672729,3.1484007385056145,146.39691290284364,149.54531364134925,false
50,20.0,152.26732580504142,3.6801648823742426,150.64422981793973,154.32439470031397,false
50,20.0,153.37881071955235,3.305973951512925,151.9666677781003,155.2726417296132,false
50,20.0,149.54263576573766,2.870215913999658,148.35921654819384,151.2294324621935,true
50,20.0,151.26587754763568,2.3216315788338875,150.31109988298869,152.63273146182257,false
50,20.0,148.83196989257837,2.6872676097627846,147.700420527647,150.38768813740978,true
50,20.0,145.5677655787573,2.8278678105809263,144.36147183399908,147.18933964458,false
50,20.0,149.65040577759203,2.4553607917402758,148.65985840037206,151.11521919211233,true
50,20.0,146.27690975962764,3.3167756806501814,144.85726623784808,148.17404191849826,false
50,20.0,152.23442779206584,2.9175385007758337,151.01372049982615,153.93125900060198,false
50,20.0,149.75336364150294,2.893701942205581,148.51455128675386,151.40825322895944,true
50,20.0,151.40319793881952,2.791073778340831,150.23289918676542,153.02397296510625,false
50,20.0,150.3394323728245,3.0842526440180222,149.03778296256854,152.12203560658656,true
50,20.0,152.1045245562954,2.8282824295303897,150.94396102875882,153.7722434582892,false
50,20.0,147.3530430669673,2.396385760890155,146.34389971089507,148.74028547178523,false
50,20.0,144.58447305816114,3.0691044725621737,143.2933186395323,146.36242311209446,false
50,20.0,150.0498061513781,2.97617038640405,148.77274529087762,151.74891567728167,true
50,20.0,149.06267374184836,2.3191491487236533,148.11102975948742,150.43017890821108,true
50,20.0,150.34731727710306,3.52807326121507,148.80346281178655,152.33153607300162,true
50,20.0,151.93577702448744,2.78802779252851,150.81077550624838,153.5988032987769,false
50,20.0,148.50955012004488,2.908122668422692,147.3373080542125,150.2454307226352,true
50,20.0,150.2429479855585,3.078896719029899,148.95267624469574,152.03157296372564,true
50,20.0,148.2908461711104,2.5032900237713704,147.2544923139009,149.75778233767227,false
50,20.0,148.4728778271509,2.481062995995103,147.44496318995255,149.92602618594765,false
50,20.0,149.26449363640774,2.1729217917411745,148.36120930472856,150.53413109646974,true
50,20.0,144.16080829346862,2.4296362343304736,143.14760318110777,145.57723941543824,false
50,20.0,148.14607560489853,3.28226229964136,146.70959117710325,149.9918534767446,false
50,20.0,150.8159272717229,2.285464990097296,149.89883592467686,152.18430091477416,true
50,20.0,148.62260979745054,3.041445678805644,147.34105692393118,150.38250260273682,true
50,20.0,151.39350044299368,3.2602099962618354,150.0092712515389,153.26948124780074,false
50,20.0,150.23627567675948,2.580699882510089,149.1349708636277,151.7156707461378,true
