parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
θ1,149.9773992398641,0.9966176104973747,0.009869325857937056,10193.505584013215,7019.298615569205,0.9999815408419273,2713.925874337917
θ2,100.49971895167837,1.0036224737158117,0.010199902838238673,9689.376845365372,7556.993194592529,1.0002593232541914,2579.706295358193
θ1,149.93377229821962,0.9523614533354839,0.022936675856893587,1729.5863751732834,1848.0491902405183,1.000201265493029,384.69447846380854
θ2,100.3375641643708,0.3650374356789238,0.010858169109774565,1128.6084411730017,1953.5407080577447,1.0000885948482325,251.02500915769608
θ1,150.41621411430143,0.9013247005705196,0.01772121400938251,2587.008560162413,2650.0424809423735,0.9999855556531044,624.2781274523197
θ2,99.87594851268463,0.1755786765882123,0.0049316414994421374,1296.62538601328,2139.7024935264703,1.0017572457343709,312.89222635455593
θ1,150.01905394294178,0.8697932098683407,0.02097595948833077,1729.4842284612291,2260.566829742095,1.0001704522581358,173.1388756092931
θ2,100.01220109669178,0.09237612851219343,0.0028524740890140962,1137.9162764605962,1882.0556827370751,1.0010220362822413,113.91693627596318
θ1,150.75856756293788,0.7092035121518954,0.015174576586542443,2183.9984175993045,2814.5511145364526,1.0005281826095702,119.95377698683498
θ2,99.96866286452328,0.04020155973839207,0.0010924697481979719,1440.058537995874,2042.0107204993183,0.9999881896744032,79.09367485010567
