ndata,sigma,theta1_median,theta2_median,theta1_iqrs,theta2_iqrs,quartiles1_1,quartiles3_1,quartiles1_2,quartiles3_2,theta1_coverage,theta2_coverage
100,20.0,149.02253084647216,100.1665421676721,3.808874677883068,0.2096596140671778,147.25724604646143,151.0661207243445,100.03166054819988,100.24132016226706,true,false
100,20.0,153.24457877492625,99.9154071298825,3.8742519920157292,0.23624098890245193,151.39880075279518,155.2730527448109,99.76676227498398,100.00300326388643,false,true
100,20.0,149.73798656522726,99.91998405200223,3.0175285478271974,0.20575602680264637,148.41375797604735,151.43128652387455,99.79067843792251,99.99643446472516,true,false
100,20.0,156.63128979185532,99.84263925193778,4.75046869306621,0.25294819888668485,154.37802265243604,159.12849134550225,99.68521857017197,99.93816676905865,false,false
100,20.0,151.27328476817547,100.22491020682259,3.406683818825968,0.23711579857231868,149.76464655192598,153.17133037075195,100.07460227570446,100.31171807427678,true,false
100,20.0,150.72455197241493,100.46283673348066,3.9385517694908003,0.222456292469559,149.0055882955466,152.9441400650374,100.32263157380015,100.54508786626971,true,false
100,20.0,149.43586231180913,99.98850102013816,3.5201921864833707,0.22045281498215274,147.7465271404095,151.26671932689288,99.85169657860278,100.07214939358494,true,true
100,20.0,153.51520093293243,99.89963392659233,4.002961350706983,0.22170797503019912,151.74577918392282,155.7487405346298,99.75986007224961,99.98156804727981,false,false
100,20.0,151.0427661958176,99.89846607579467,3.4792747516009115,0.229025706406901,149.4687980913514,152.9480728429523,99.75494199607522,99.98396770248212,true,false
100,20.0,146.56507980038916,99.9201325888642,3.441822333977427,0.19840382701573844,144.9707465162384,148.41256885021582,99.79758254490025,99.99598637191599,false,false
100,20.0,151.3469028281914,100.30450564618502,4.199416111093768,0.20510090569011652,149.37640430455477,153.57582041564854,100.1764076435718,100.38150854926192,true,false
100,20.0,147.86836996685454,100.03798577318103,3.772454504771673,0.2016888029144468,146.14003420445053,149.9124887092222,99.91337698340722,100.11506578632167,false,true
100,20.0,146.1984930415125,99.89631900891911,3.314983879272745,0.20666155927189322,144.630611913437,147.94559579270975,99.76686957909088,99.97353113836277,false,false
100,20.0,151.1790334676757,100.84447571245491,4.355590051041332,0.22727458400044043,149.12686468146845,153.48245473250978,100.70414258887048,100.93141717287092,true,false
100,20.0,152.06288998688376,100.00883492217449,3.6497463529368304,0.23605915822692225,150.36053964842293,154.01028600135976,99.85697905021026,100.09303820843718,false,true
100,20.0,152.5642703426832,99.89253003582157,4.084399102671654,0.22270330908386882,150.60373313454338,154.68813223721503,99.75657797149297,99.97928128057684,false,false
100,20.0,153.48765846613506,99.91459893951193,3.8937783552808014,0.23433490580286787,151.69935028681078,155.59312864209159,99.76894303424632,100.00327794004919,false,true
100,20.0,151.40674821483762,100.1494922627032,4.030596202104903,0.21614387201499596,149.59345830456937,153.62405450667427,100.01205707788337,100.22820094989837,true,false
100,20.0,148.97105390411144,100.18198169843842,3.6254110312813737,0.21320342985909235,147.2890530076267,150.91446403890808,100.05158851986066,100.26479194971975,true,false
100,20.0,150.49406747955777,100.26517284472463,3.9413964527656162,0.202548568546419,148.74684958835192,152.68824604111754,100.13720489099784,100.33975345954426,true,false
100,20.0,154.60146568565642,100.00471123872025,4.505791508086759,0.24177058013970054,152.5171704257717,157.02296193385845,99.85123213853063,100.09300271867033,false,true
100,20.0,151.07676640166943,100.08067442006985,3.6015278929666863,0.22112181469805137,149.3639956712509,152.9655235642176,99.94099809083734,100.16211990553539,true,true
100,20.0,149.87098591055957,99.89967950283898,4.081350390781182,0.21466700288495133,148.00765151850638,152.08900190928756,99.76482385552399,99.97949085840894,true,false
100,20.0,150.9237107765532,99.86075336513795,3.7709291025759057,0.22467652961313433,149.1418461980601,152.912775300636,99.71912905326548,99.94380558287861,true,false
100,20.0,146.0748689430998,99.92136783147322,3.8745635078514056,0.2072106204257409,144.23631329517335,148.11087680302475,99.78620614668401,99.99341676710975,false,false
100,20.0,145.61713470102745,100.17118124229927,3.1323041131733476,0.19550031003591073,144.15190162066114,147.28420573383448,100.04750588383229,100.2430061938682,false,false
100,20.0,149.32700832152756,100.26535543096932,3.2183927696515013,0.207628007799741,147.83915276647485,151.05754553612636,100.13728114451817,100.34490915231791,true,false
100,20.0,150.43719765683872,100.00976199167172,3.878491247204977,0.22099986850760445,148.60240156674627,152.48089281395124,99.87218110520303,100.09318097371063,true,true
100,20.0,147.3159005855228,99.98541758430007,3.2153160576709467,0.21702215267843883,145.87535830307658,149.09067436074753,99.8483909756093,100.06541312828774,false,true
100,20.0,148.8711211327315,99.99067290847603,4.122204265260876,0.20325001288858857,147.01018827401265,151.13239253927352,99.86128825176436,100.06453826465295,true,true
100,20.0,150.62230624413334,100.22289539015748,4.0672802794219365,0.2159156955915762,148.71159761432355,152.7788778937455,100.08592648615796,100.30184218174954,true,false
100,20.0,151.12890778368944,99.86301358037255,3.4405478237912632,0.2107621338850123,149.57392133073003,153.0144691545213,99.73265185336419,99.9434139872492,true,false
100,20.0,149.79779524117623,100.43318977705619,3.5206911086129935,0.21456686862252639,148.20921125008928,151.72990235870228,100.29781493634401,100.51238180496654,true,false
100,20.0,146.81149208311774,99.9321668353485,3.738839158500326,0.2127039153212138,145.0451285033624,148.78396766186273,99.79562267554464,100.00832659086585,false,true
100,20.0,147.8848944417724,99.96434188973421,3.9094200209822247,0.20476362732935627,146.04310371099814,149.95252373198036,99.8354072811135,100.04017090844286,false,true
100,20.0,142.3516409635128,100.11839746481874,3.498194332696613,0.1950684993893077,140.75314284578786,144.25133717848448,99.99502849087227,100.19009699026158,false,true
100,20.0,148.92396129538855,100.41619127071692,3.4472449240086576,0.22306969202136884,147.31208087012087,150.75932579412952,100.27401270737928,100.49708239940065,true,false
100,20.0,145.13460951799146,100.11230644688803,3.7159626678946154,0.19967270018807426,143.39737591151865,147.11333857941327,99.98602132640119,100.18569402658926,false,true
100,20.0,150.3437289962513,99.9084949489785,3.263527316267755,0.22181214623353185,148.84398551625839,152.10751283252614,99.7663131784962,99.98812532472974,true,false
100,20.0,148.7655949845464,100.37058146868537,3.5553817816162336,0.22052208416749863,147.14129770643157,150.6966794880478,100.232118192619,100.4526402767865,true,false
100,20.0,147.28867820647434,99.98471839113236,3.6462289206169203,0.19408478074714708,145.57323379157413,149.21946271219105,99.85995464260003,100.05403942334718,false,true
100,20.0,149.0847056078194,100.28610149771282,3.5329991480329,0.22436356622021947,147.44484119678276,150.97784034481566,100.14635359440047,100.37071716062069,true,false
100,20.0,151.98147360290176,99.8661108046771,3.8249837060831737,0.23086776486812255,150.2343396423687,154.05932334845187,99.71734571777012,99.94821348263824,false,false
100,20.0,150.48809508416792,99.93493828973754,3.9928682627632384,0.22257120047355272,148.57458604899574,152.56745431175898,99.79477465176957,100.01734585224312,true,true
100,20.0,153.0896521250509,100.20298942464734,4.058804744236596,0.2275821711351398,151.22940988415192,155.28821462838852,100.0593852028489,100.28696737398404,false,false
100,20.0,150.4030501574174,100.19704073849668,3.8483266777897995,0.22011172801079226,148.56943392032574,152.41776059811554,100.05950649511104,100.27961822312183,true,false
100,20.0,155.71214781255196,100.24953343187953,4.33231045253703,0.24859500376243204,153.70411714814844,158.03642760068547,100.08820550748683,100.33680051124927,false,false
100,20.0,148.45836895449597,100.0856562622075,3.561767295262399,0.2188079855735623,146.8147720226805,150.3765393179429,99.94631327885536,100.16512126442892,true,true
100,20.0,147.78455343721964,99.93493310407385,3.7781084127679208,0.2230244259789771,146.02847308770833,149.80658150047626,99.7929746911816,100.01599911716058,false,true
100,20.0,149.51190363331648,99.90845482719544,3.30425454937361,0.22126322109478735,148.0427143728355,151.3469689222091,99.7649886166824,99.98625183777719,true,false
100,20.0,151.86305396907485,99.98772729959106,3.466598099789792,0.23678580750851097,150.28249342640473,153.74909152619452,99.83590849172516,100.07269429923367,false,true
100,20.0,146.6344263996337,100.80283057449752,3.2072153526779914,0.2036435097032978,145.12191618891111,148.3291315415891,100.6730234147283,100.8766669244316,false,false
100,20.0,142.98414637574427,99.99369775486363,2.549652846894304,0.18330521615303041,141.85258526091366,144.40223810780796,99.87717527601305,100.06048049216608,false,true
100,20.0,153.91991614793912,99.97665398888985,4.184170873255141,0.2403638011050333,151.9852287930644,156.16939966631955,99.82662907677947,100.0669928778845,false,true
100,20.0,151.51010922973958,100.02182640673954,3.3788813635886754,0.23398532582325515,149.91613654059313,153.2950179041818,99.87534365398149,100.10932897980474,true,true
100,20.0,148.84728691764576,100.08216544518311,3.533204426834345,0.22831767035458483,147.2663469016041,150.79955132843844,99.93732704528227,100.16564471563686,true,true
100,20.0,152.73730309591656,100.01627473987385,3.5746132774873445,0.22803371159571384,151.14947647490413,154.72408975239148,99.8714022716829,100.09943598327861,false,true
100,20.0,151.42419483978733,100.2124481502497,4.0803711429445,0.2216438828185403,149.5692701103648,153.6496412533093,100.07346249402613,100.29510637684467,true,false
100,20.0,147.90089761980465,99.92016806455639,3.5360818327316963,0.2092697306712239,146.28146066065585,149.81754249338755,99.78449475104256,99.99376448171378,false,false
100,20.0,147.99923996571732,100.03802112156066,4.125991411936496,0.21909744027195188,146.06378707824553,150.18977849018202,99.89938219383762,100.11847963410958,true,true
100,20.0,149.27086461984607,100.53415485689857,4.148843695712998,0.2110428359243457,147.23134588080757,151.38018957652056,100.40209965750098,100.61314249342533,true,false
100,20.0,147.57368971301992,100.09228235789803,3.5849681259877855,0.2010812385952363,145.9139394296419,149.4989075556297,99.96719115803947,100.1682723966347,false,true
100,20.0,149.49598048920942,99.97720948914069,3.5545439024830614,0.2072718320368665,147.8738850387118,151.42842894119485,99.84636872646325,100.05364055850012,true,true
100,20.0,147.72545606260059,100.84268026115025,3.615673971948354,0.21281253809885925,146.00844713062125,149.6241211025696,100.70594222939086,100.91875476748972,false,false
100,20.0,147.80555083753387,99.95697660935703,3.4720842651342423,0.2035290743025655,146.22252838493534,149.6946126500696,99.82901848138107,100.03254755568364,false,true
100,20.0,149.03795360738462,99.94020527086809,4.356098175241073,0.21286366916676513,146.94891427442388,151.30501244966496,99.80283051004434,100.01569417921111,true,true
100,20.0,150.9177187094138,100.01827211455466,3.5130672007258568,0.24010517448263613,149.25801189924036,152.77107909996622,99.86471731468161,100.10482248916425,true,true
100,20.0,148.81635605135182,100.04407245196082,3.3559872736564103,0.21480476835047568,147.24973030713102,150.60571758078743,99.90824155048392,100.1230463188344,true,true
100,20.0,150.81330206610326,99.9084964226285,3.5561560227778273,0.2184953163031338,149.16360031105808,152.7197563338359,99.77357583486105,99.99207115116418,true,false
100,20.0,151.18480414008053,99.91185776680466,4.187548151408606,0.23405638264645745,149.27450716047096,153.46205531187957,99.76819262542753,100.00224900807399,true,true
100,20.0,150.84202703920477,100.05222976539103,3.948311903551172,0.22075189883253188,149.06613077183735,153.01444267538852,99.91384496735827,100.1345968661908,true,true
100,20.0,150.2325609344532,100.07921926594062,4.07158474411014,0.22847576642247702,148.35082303791023,152.42240778202037,99.93344105508196,100.16191682150443,true,true
100,20.0,148.29948635926533,99.87989082212168,3.1804312618419885,0.2159820298222428,146.8805037888583,150.0609350507003,99.74626071909425,99.9622427489165,true,false
100,20.0,144.76164917365998,100.24748120095185,3.5827511015470748,0.1922964245322305,143.108870975745,146.69162207729207,100.12537422221124,100.31767064674347,false,false
100,20.0,154.01808053274675,100.06331729348712,3.4288729276111383,0.25354071321686433,152.4743052407621,155.90317816837324,99.8981410804445,100.15168179366137,false,true
100,20.0,148.30148719048256,100.45769757428616,3.1476815991925946,0.21874672256188887,146.92684288970733,150.07452448889993,100.31968551750796,100.53843224006985,true,false
100,20.0,151.62812781345602,99.93882691638892,4.131756200566997,0.23880128112793386,149.72176244276437,153.85351864333137,99.78638103151579,100.02518231264372,true,true
100,20.0,148.22707224821863,100.03140333063678,3.7966585339875962,0.23041890271288423,146.4112594091372,150.20791794312478,99.88817559266201,100.1185944953749,true,true
100,20.0,151.61005144094932,99.91023597989354,4.237193170113159,0.22542487908640396,149.55545995561317,153.79265312572633,99.77205494800573,99.99747982709214,true,false
100,20.0,147.70302444209534,99.89495643564379,3.602037199525597,0.2036881289534449,146.05074667335077,149.65278387287637,99.76571948807216,99.96940761702561,false,false
100,20.0,148.4959307938896,100.30135134136242,3.716548483324459,0.21102563547216846,146.72028299529637,150.43683147862083,100.16803366463262,100.37905930010479,true,false
100,20.0,152.14641851269562,100.14848093884747,3.5333786789771295,0.2207720001689637,150.52539592704963,154.05877460602676,100.00862324402061,100.22939524418958,false,false
100,20.0,151.76139151883652,100.10156082797656,3.7062675982740245,0.2393513019872131,150.04779919588762,153.75406679416164,99.94944036812049,100.1887916701077,false,true
100,20.0,148.73963273939302,99.86027928828999,3.557349911984005,0.22345310986835898,147.05976264038213,150.61711255236614,99.71818689420363,99.94164000407199,true,false
100,20.0,153.2517769998161,100.02255441409497,3.2904634800759425,0.2395210974869002,151.74099390635598,155.03145738643192,99.87065467522818,100.11017577271508,false,true
100,20.0,150.21275153251167,99.91397475952596,4.22194768871222,0.23172952582717699,148.21742800818146,152.43937569689368,99.76723509955833,99.99896462538551,true,false
100,20.0,147.56040553206452,100.24663215360508,3.4818913814505095,0.21184397878995753,145.9493198224336,149.43121120388412,100.1137589293361,100.32560290812606,false,false
100,20.0,152.50929897044722,100.25958654464884,3.9565680109535037,0.23546892206852021,150.6513127373857,154.6078807483392,100.11063941580144,100.34610833786996,false,false
100,20.0,149.08060041621707,99.9046393507873,3.1628782794434755,0.2148713658741599,147.6718857002242,150.83476397966768,99.7706817009077,99.98555306678186,true,false
100,20.0,152.1965150938658,100.04798419719629,3.7218401257593143,0.24401550832743624,150.42515926937256,154.14699939513187,99.893386465653,100.13740197398043,false,true
100,20.0,148.7352595715637,100.0013292142379,2.9752038146195616,0.2117287575130291,147.42575358941903,150.4009574040386,99.86681554297766,100.07854430049069,true,true
100,20.0,151.2045797502044,100.22654139263537,4.048753632210293,0.21626838953226013,149.29246789839536,153.34122153060565,100.08915264733025,100.30542103686251,true,false
100,20.0,151.79846251104328,100.0189569606878,3.4469481763146916,0.235501881903474,150.16685978216952,153.61380795848422,99.86991518097935,100.10541706288282,false,true
100,20.0,153.04019530478928,100.06583976333951,3.8596027728424644,0.2417649165776652,151.16293307849062,155.0225358513331,99.91235024988052,100.15411516645818,false,true
100,20.0,151.17679476858842,100.14288257881407,4.289313884173936,0.2251977574924524,149.0352726760963,153.32458656027023,100.00247633540819,100.22767409290064,true,false
100,20.0,151.40133854864075,99.95318940709049,4.424791662722555,0.22850128345379517,149.2872780110655,153.71206967378805,99.81110412499034,100.03960540844413,true,true
100,20.0,151.72564360516145,100.10615302986554,3.7936053185852927,0.2248764934354881,149.9617432798299,153.7553485984152,99.96412939076149,100.18900588419697,true,true
100,20.0,152.00280497971474,99.86676403410432,4.183310162162314,0.236368812761242,150.03042755758287,154.21373771974518,99.72120137624154,99.95757018900278,false,false
100,20.0,148.25806273529997,100.15660856880203,3.7198625824536578,0.22543044593106742,146.52661798312963,150.24648056558328,100.01650663764026,100.24193708357133,true,false
100,20.0,149.4216838319755,100.05433734200314,3.785233462466863,0.22316194806180079,147.6322946031384,151.41752806560527,99.9125721928483,100.1357341409101,true,true
100,20.0,147.95380832981857,99.92197162113281,3.6826138051163184,0.22323085133869824,146.23742277802572,149.92003658314204,99.77896911358255,100.00219996492125,false,true
100,20.0,151.9772839741147,100.20479678562697,3.790169663971483,0.2272600935418012,150.1430381269771,153.9332077909486,100.06385404363982,100.29111413718162,false,false
100,20.0,144.90408793031634,99.90107818002785,2.8754393287498488,0.21563194363326943,143.58541967888607,146.46085900763592,99.7594857861997,99.97511772983297,false,false
100,20.0,151.87576576266153,99.97626646373388,3.775515116078708,0.21120502251093853,150.08937088650023,153.86488600257894,99.84337379478728,100.05457881729822,false,true
100,20.0,151.61905458244092,99.90330700317833,3.74274078157066,0.22449312915674113,149.8281515209223,153.57089230249295,99.76272403994301,99.98721716909975,true,false
100,20.0,147.08174306178796,99.89818507832534,3.9764604612304026,0.20426085712522024,145.16028903199864,149.13674949322905,99.76736827076166,99.97162912788689,false,false
100,20.0,149.17581481903795,99.93298257417757,2.4805418982675462,0.2058281571494689,148.08767038651064,150.56821228477818,99.8013341019003,100.00716225904976,true,true
100,20.0,150.25277410763204,100.35670052726377,3.2822739809342636,0.21592900709991625,148.72931954340132,152.01159352433558,100.21980274019236,100.43573174729228,true,false
100,20.0,151.0544482668388,99.93545744636853,4.036061623691012,0.22837947336668663,149.19147863224197,153.22754025593298,99.79214571503891,100.0205251884056,true,true
100,20.0,152.9741392953585,99.91688629657577,4.512700702257234,0.2288501523605504,150.7931771745105,155.30587787676774,99.77327944148253,100.00212959384308,false,true
100,20.0,148.63768946975688,99.92244025224497,3.772849462011493,0.2205582991762043,146.91738455272082,150.6902340147323,99.78261744595575,100.00317574513195,true,true
100,20.0,152.7714733024066,99.95465738287746,3.4563604696099333,0.2292676432307985,151.25595511325332,154.71231558286325,99.8138811621479,100.04314880537869,false,true
100,20.0,147.9326968164698,99.89600291837152,2.945811332932493,0.21360597616916266,146.64419569680172,149.5900070297342,99.76362297547941,99.97722895164857,false,false
100,20.0,148.6237018876543,100.22269860118469,3.548391314682192,0.2192873975808567,146.945086656043,150.4934779707252,100.08290648808428,100.30219388566513,true,false
100,20.0,151.29492761835962,99.8874314278075,4.035191659771527,0.23160763236515436,149.3870338276056,153.42222548737712,99.74044894464629,99.97205657701144,true,false
