ndata,sigma,theta_median,theta_iqrs,quartiles1,quartiles3,theta_coverage
50,1.0,168.17147201714675,1.381465614228432,167.46490049930583,168.84636611353426,false
50,1.0,168.16846832160743,1.3436272285637756,167.49673954383138,168.84036677239516,false
50,1.0,168.14714336961134,1.402130940323218,167.4347680999088,168.83689904023203,false
50,1.0,168.1372434006935,1.3463939412339698,167.47420914800938,168.82060308924335,false
50,1.0,168.1415093204144,1.3584453894305852,167.4775134258046,168.8359588152352,false
50,1.0,168.14109442526134,1.3373194735972618,167.48286364414324,168.8201831177405,false
50,1.0,168.2136414947893,1.4083290648551952,167.49673208628593,168.90506115114113,false
50,1.0,168.17665773757284,1.3355818349349988,167.49756449399356,168.83314632892856,false
50,1.0,168.21002673720955,1.3823951672088128,167.51105428712978,168.8934494543386,false
50,1.0,168.14108049290385,1.3625323504218727,167.46802304690533,168.8305553973272,false
50,1.0,168.15587478340694,1.3907327686225983,167.47974994901932,168.87048271764192,false
50,1.0,168.14573595444767,1.3746193586972026,167.47300222188633,168.84762158058354,false
50,1.0,168.17296544715862,1.3704910160831787,167.47694508035147,168.84743609643465,false
50,1.0,168.16114777620385,1.3664890121054611,167.47967640940232,168.84616542150778,false
50,1.0,168.17583353435438,1.3808537359290938,167.49905794227823,168.87991167820732,false
50,1.0,168.16036414317765,1.3471655907929119,167.49444717877262,168.84161276956553,false
50,1.0,168.19518189439563,1.3804531793044816,167.47612284446527,168.85657602376975,false
50,1.0,168.1662710988513,1.3612149130851492,167.50039067771635,168.8616055908015,false
50,1.0,168.16949081194917,1.3639503797357406,167.48805950081982,168.85200988055556,false
50,1.0,168.1666955146991,1.3160353811304617,167.5216565651716,168.83769194630207,false
50,1.0,168.16727314243423,1.403483295034789,167.48114713269064,168.88463042772543,false
50,1.0,168.14467132895015,1.3356196227420014,167.4983551286719,168.8339747514139,false
50,1.0,168.17284813054727,1.3483170344975406,167.49166598145987,168.83998301595742,false
50,1.0,168.1458899686586,1.4018829946183757,167.45747643561262,168.859359430231,false
50,1.0,168.16690906263736,1.3532517937397017,167.49656572247133,168.84981751621103,false
50,1.0,168.14871603232913,1.358192811309408,167.47858502114,168.8367778324494,false
50,1.0,168.18586059101128,1.3426198421612412,167.51599288547874,168.85861272763998,false
50,1.0,168.15333688015835,1.3782225559997698,167.4730384849881,168.85126104098788,false
50,1.0,168.17032301567838,1.3603325574329972,167.4844273483867,168.8447599058197,false
50,1.0,168.15257182541416,1.3884968528778074,167.4617057232857,168.8502025761635,false
50,1.0,168.18361729606323,1.3829705042184912,167.47484149273805,168.85781199695654,false
50,1.0,168.161794564264,1.3139669604242386,167.5046316293182,168.81859858974244,false
50,1.0,168.15116097202042,1.4271575716923905,167.43478203534295,168.86193960703534,false
50,1.0,168.14446605769456,1.3679945567935192,167.4631789256759,168.8311734824694,false
50,1.0,168.186341179461,1.381499974349481,167.4940851290727,168.87558510342217,false
50,1.0,168.17364028798517,1.3905168276419886,167.47311535907198,168.86363218671397,false
50,1.0,168.13582211067927,1.3690497371868275,167.46479275975835,168.83384249694518,false
50,1.0,168.1605280476961,1.3365546155854418,167.48841111581706,168.8249657314025,false
50,1.0,168.18037377196822,1.352610969640807,167.48983200295567,168.84244297259647,false
50,1.0,168.1411807351338,1.3879793896560955,167.46413067595128,168.85211006560738,false
50,1.0,168.14863321414705,1.390327711343815,167.4562144580878,168.84654216943161,false
50,1.0,168.16526304677518,1.3974018544418527,167.4527071645797,168.85010901902155,false
50,1.0,168.18623117344782,1.3562678582630951,167.4967977802271,168.8530656384902,false
50,1.0,168.16737144504933,1.358407942764586,167.47634943252976,168.83475737529434,false
50,1.0,168.17551536654028,1.3595074007412506,167.5018611777436,168.86136857848484,false
50,1.0,168.15828140959533,1.354793101237476,167.48944775441652,168.844240855654,false
50,1.0,168.15397495092327,1.3480841983649157,167.48748968470898,168.8355738830739,false
50,1.0,168.13784940474005,1.3642992196142245,167.47534319741573,168.83964241702995,false
50,1.0,168.19327400362326,1.3459353844280884,167.52994637515346,168.87588175958155,false
50,1.0,168.16929100487687,1.3850204199200675,167.49067123715497,168.87569165707504,false
50,1.0,168.19272602895416,1.4016634415976625,167.48449217905835,168.886155620656,false
50,1.0,168.12953747893104,1.3491406126823335,167.48994100473337,168.8390816174157,false
50,1.0,168.16430860981023,1.3740979538279134,167.47229155007557,168.84638950390348,false
50,1.0,168.13939768358446,1.3699506678161129,167.45983564760627,168.82978631542238,false
50,1.0,168.19331691605768,1.3431786695365702,167.51731655403583,168.8604952235724,false
50,1.0,168.135985333712,1.333534405703233,167.4821977140697,168.81573211977295,false
