ndata,sigma,theta1_median,theta2_median,theta1_iqrs,theta2_iqrs,quartiles1_1,quartiles3_1,quartiles1_2,quartiles3_2,theta1_coverage,theta2_coverage
10,20.0,148.72117275768613,97.05317784400603,2.593184624298061,16.28771835686254,147.81227499924793,150.405459623546,87.76744484380183,104.05516320066437,true,true
10,20.0,149.3433371239447,90.4456122563522,3.1343632697581825,17.288918528801446,148.2221322243382,151.35649549409638,80.82026442402017,98.10918295282161,true,false
10,20.0,151.06721294164427,93.07597773602708,3.059413267593129,16.593960738453106,149.95490809421833,153.01432136181145,84.34366482697335,100.93762556542646,true,true
10,20.0,150.35871135529027,90.61983100685286,3.1472566413139305,17.7750161015465,149.1749942510272,152.32225089234112,80.83932649667463,98.61434259822113,true,false
10,20.0,149.80607526022834,84.74739766634583,3.5079831011009333,16.517092351191323,148.52193904062466,152.0299221417256,75.71442355594212,92.23151590713344,true,false
10,20.0,150.52022974177913,92.03696442219923,3.1273565889337647,17.50024835888982,149.39055598016716,152.51791256910093,82.64282940387744,100.14307776276726,true,true
10,20.0,148.27330679401243,116.2035075010399,1.6884984272984411,13.968533951565405,147.6774393721829,149.36593779948134,108.35796459207455,122.32649854363996,false,false
10,20.0,151.74958919054666,86.4021320804669,3.4828467666835365,16.815365581642865,150.4895284546473,153.97237522133085,77.28263962534733,94.0980052069902,false,false
10,20.0,151.2241619264621,90.11652568638252,3.4601129078209567,17.12828531609638,149.9606595064392,153.42077241426017,80.66933308261768,97.79761839871406,true,false
10,20.0,148.84571069472565,126.79653578390324,1.1344943970351267,11.016122900218207,148.4237800395415,149.55827443657662,120.10235954495023,131.11848244516844,false,false
10,20.0,150.6545233269328,105.5319321159121,2.260258573626288,17.018040683074233,149.8542871780352,152.1145457516615,96.0890482501354,113.10708893320964,true,true
10,20.0,150.46427971878117,103.01755590926763,2.508827593821678,15.782727612272708,149.56252361073214,152.07135120455382,94.17593113868115,109.95865875095386,true,true
10,20.0,148.3493048109283,93.96643665693433,2.89281012410558,17.470371987515136,147.33953769010515,150.23234781421073,84.50702689345705,101.97739888097219,true,true
10,20.0,148.97030810953936,100.41811850044672,2.560960811105275,17.1453989932633,148.03713577497692,150.5980965860822,90.72976010861326,107.87515910187656,true,true
10,20.0,149.2681949551693,92.87876247265599,3.147430061863446,16.39326437148047,148.10363338590912,151.25106344777257,83.6390310295188,100.03229540099927,true,true
10,20.0,151.2128448046579,92.49946038259156,3.006680218862556,18.034281249090427,150.10332205420366,153.11000227306621,82.66155240628535,100.69583365537578,false,true
10,20.0,150.8425170980978,84.98963742688719,3.63971219220835,17.04614305077736,149.5376771428054,153.17738933501374,75.6680809437911,92.71422399456846,true,false
10,20.0,151.8057803182612,83.83410273504181,3.4681900585642893,16.793892847798432,150.53476101423644,154.00295107280073,74.5125847310441,91.30647757884253,false,false
10,20.0,151.59436135009597,95.3645964151732,3.0577318536409166,18.785993878940175,150.46188985636883,153.51962171000974,84.86270181600729,103.64869569494746,false,true
10,20.0,149.92125559331419,103.2978661653738,2.628803711422364,17.004612215618565,149.0147172788923,151.64352099031467,93.35954943470979,110.36416165032836,true,true
10,20.0,151.64798720127365,88.35571284086978,3.3635412904341138,17.26075985475687,150.42354432990294,153.78708562033705,79.16373167091643,96.4244915256733,false,false
10,20.0,149.638741818629,80.07562541808622,3.7197555484482336,18.32166064901564,148.3016049707816,152.02136051922983,70.11760245164271,88.43926310065835,true,false
10,20.0,150.45141180506252,88.98634279643267,3.295961298050713,17.976828833026033,149.23963441500177,152.5355957130525,79.09545426502933,97.07228309805537,true,false
10,20.0,150.26700649934037,105.3745726513111,2.4555534410881705,18.134620473462263,149.43405771443835,151.88961115552652,95.14250430369066,113.27712477715292,true,true
10,20.0,150.0096996320107,95.14064958906266,2.8618341198875044,17.848442164357465,149.0048752426039,151.8667093624914,85.62213811998177,103.47058028433923,true,true
10,20.0,150.73164637307048,94.00741573630754,3.041104800782932,17.283093940071538,149.59655582350865,152.63766062429158,84.05350482345285,101.33659876352439,true,true
10,20.0,148.94121806780782,107.31386395455294,2.222441325238094,16.71253443685289,148.16641121892863,150.38885254416672,97.67340496933636,114.38593940618925,true,true
10,20.0,148.39865032965417,100.68348695588426,2.2911099588569073,14.802352909553903,147.57641189354862,149.86752185240553,92.38047122336154,107.18282413291544,false,true
10,20.0,151.07453920098433,84.47598539695011,3.4151697696491112,16.724254202178926,149.8454360244066,153.26060579405572,75.6144447634438,92.33869896562273,true,false
10,20.0,149.24766616706103,85.26796906687797,3.3804421019275424,16.41865325646934,148.01872510232346,151.399167204251,76.30349321758258,92.72214647405193,true,false
10,20.0,151.7899089439716,92.26972456105437,3.112900316173409,16.595367386940538,150.69108150909568,153.8039818252691,82.74572697165675,99.34109435859729,false,false
10,20.0,150.63951606632077,97.01884037110503,2.7950538290387783,16.97012071254038,149.63685879108328,152.43191262012206,87.7456670263743,104.71578773891468,true,true
10,20.0,150.24395577723868,86.2378385833565,3.2733742741277183,16.52869442807699,149.0502374122882,152.32361168641592,77.43938935155548,93.96808377963247,true,false
10,20.0,151.01096947206622,90.6744836980819,3.1601543467808426,17.81451111158104,149.85765137790165,153.0178057246825,80.89148520630812,98.70599631788916,true,false
10,20.0,146.1712085565688,89.01307162181175,3.3557763708509185,16.940947779051513,144.9484051412446,148.3041815120955,79.99148395294199,96.9324317319935,false,false
10,20.0,150.60376017374392,106.16364200950676,2.292232947548399,16.799037963995744,149.73489447310087,152.02712742064926,96.54718961609927,113.34622758009502,true,true
10,20.0,151.36862461819408,86.42409717976878,3.48784710939438,16.408208666735504,150.11109393617664,153.59894104557102,77.2631728892701,93.6713815560056,false,false
10,20.0,150.38016016235878,82.9283171871825,3.5183432888279356,16.571372775129745,149.1047074413148,152.62305073014272,73.65940940652554,90.23078218165529,true,false
10,20.0,151.47884624663902,97.24883216074815,2.605886532145348,18.223184120838425,150.5276632791792,153.13354981132454,87.1393519968753,105.36253611771373,false,true
10,20.0,147.3485837726008,85.76682045983205,3.292985089910303,16.922983099386713,146.20559032318303,149.49857541309333,76.45727905876946,93.38026215815617,false,false
10,20.0,150.6356324733418,96.06606350500208,2.8972483341098894,16.6859728594262,149.61275362090143,152.51000195501132,86.84330303234219,103.52927589176839,true,true
10,20.0,150.71458104629608,95.7806120356649,2.7294014333633356,14.962441844939931,149.7668062129282,152.49620764629154,87.21847931419342,102.18092115913335,true,true
10,20.0,151.63927664977365,91.89437487950994,3.2384977927511613,16.493274800216923,150.47561443798295,153.71411223073412,82.97962529639851,99.47290009661543,false,false
10,20.0,151.71584086360411,83.96682333836253,3.7701759203446557,16.789069597811903,150.35711486179557,154.12729078214022,74.61933187202467,91.40840146983658,false,false
10,20.0,148.95323811665816,86.90510952508684,3.4272589702906373,15.930501591364035,147.76130109874953,151.18856006904016,78.20227603509005,94.13277762645409,true,false
10,20.0,151.3617626703034,97.68868180896317,2.781169861714716,17.282454951814344,150.35184272080647,153.1330125825212,88.51946722989757,105.80192218171192,false,true
10,20.0,147.5654342454783,94.17589189424027,2.903089890907154,15.989153101757026,146.54841144496515,149.4515013358723,85.33326170980756,101.32241481156458,false,true
