parameters,2.5%,25.0%,50.0%,75.0%,97.5%
θ1,147.84219725582264,149.171471382395,149.8431819503055,150.51090559207603,151.86082802846482
θ2,98.06838494525134,99.23144441408743,99.73987314606896,100.12187210225278,100.46721146963719
θ1,147.77949212975372,149.0272773420058,149.68436025151425,150.33323720173567,151.59798389824908
θ2,99.14542026360513,100.13819796629349,100.54832180313264,100.8316523603684,101.02880334619263
θ1,148.45244638036976,149.33452855589314,149.87506699596165,150.46836448265873,151.6910798706757
θ2,99.22008055889982,99.8448394558363,100.0423494904663,100.15859245566158,100.24137192177672
θ1,149.35379160017368,149.8412656913794,150.2190238642988,150.67295754988533,151.59333533702082
θ2,99.7645381558945,100.1110105131377,100.21932100302605,100.28615025583188,100.33091296994488
θ1,149.2604866731924,149.53854353897776,149.78270309883058,150.06338939860237,150.69708615377996
θ2,99.8917249778218,100.03288308091295,100.07572421912454,100.10084134862163,100.11967289097136
