parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
θ1,149.84565368223363,1.0129325405870164,0.0167203942432237,3677.9385337283206,4151.353756176291,1.000166419485787,977.3953052692854
θ2,99.6170304560469,0.6404213903205813,0.015256541793565758,1796.4316827762593,3228.612786434251,1.0002400029839515,477.39348466018055
θ1,149.68355762048935,0.9681848350527984,0.026475173602899298,1338.9311722978314,1915.6224578309577,0.9999099332819289,332.57108104764814
θ2,100.42330116798647,0.5200058646259955,0.014826780045498323,1219.9701660984808,2178.7985233991735,1.0002686401505219,303.0228927219277
θ1,149.92414780057413,0.8257303967883715,0.018306370334131614,2059.0076243686444,2693.409300540252,1.000828065910789,416.6344848985521
θ2,99.95763561057927,0.27842791897539326,0.007851059161774296,1363.8878636266559,1904.6453496133647,1.0004067620353265,275.97892829353617
θ1,150.29075936273898,0.591729377239142,0.015049985106873089,1612.5963280176045,1942.285256560751,1.000013766576467,158.61083190888212
θ2,100.17440173248727,0.1520988884454955,0.004674817827546563,1055.1598662702647,1736.7578092363422,1.0001557866719386,103.78281363925099
θ1,149.83071755064378,0.3819936881634929,0.012088375765344229,1051.0900413891966,1569.6445488278403,1.0017997143957489,42.21245146141352
θ2,100.05739262238026,0.06135154213349092,0.002105712689501095,961.0466184226048,1141.2588274044804,1.0011911664944286,38.596249735847586
