parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
θ1,147.8799724727807,2.2644888063967223,0.08533797887161106,715.9902965766014,1177.3412481900493,1.0019855522202856,284.0104310101553
θ2,95.60817648533286,10.464406099004435,0.3887139663559201,750.6240009914391,1541.4745155993437,1.0008355648412164,297.7485128883138
θ1,149.60455499352878,0.32746588823695794,0.010234107105430986,1079.0804136504257,1613.5611988469946,1.0019026520288774,364.67739562366535
θ2,107.01974942796198,3.8157356832180875,0.07896331015492529,2522.335597678742,2512.9253031411945,1.000095430366241,852.4283871844345
θ1,150.19613850386895,0.19857577237684856,0.0075550319068218305,751.8090498450833,1256.465865571215,1.0002865491270716,71.40365180407288
θ2,101.17667505864517,2.512674065937463,0.07708082884059728,1177.330106043083,1260.0823330285646,1.000580782880752,111.81784652322948
θ1,150.047246131943,0.11808544518967143,0.004032088781684667,959.2810885034675,1223.062835699287,1.0000874511564695,71.75950691976865
θ2,97.9134998392928,2.138149762957357,0.058423561724106544,1353.5529882922312,2295.711285286766,1.0003052580129925,101.2532157609389
θ1,150.01789338763905,0.04262606956057868,0.0012904620286749808,1254.6166173138583,1561.9029430840858,1.000047904309644,58.18107110526147
θ2,100.11613709460269,1.2365127520428498,0.027422874908505878,2057.6676606244273,2493.200741191652,1.0008908473784472,95.42142740792187
