ndata,sigma,theta_median,theta_iqrs,quartiles1,quartiles3,theta_coverage
100,1.0,168.94445616237914,1.3545968685434957,168.28930869979382,169.64390556833732,false
100,1.0,168.98572961486315,1.3432244908154587,168.31621381477103,169.6594383055865,false
100,1.0,168.92218984983194,1.364461763203849,168.23334473135714,169.59780649456098,false
100,1.0,168.92189581940931,1.2951725419397633,168.2713734787061,169.56654602064586,false
100,1.0,168.83721694999628,1.3619218430119702,168.16831565169264,169.5302374947046,false
100,1.0,168.97287882371037,1.3143211695994523,168.30636318254096,169.62068435214042,false
100,1.0,168.96670781018562,1.3106267673071272,168.30898012159537,169.6196068889025,false
100,1.0,168.92331402296713,1.3575346542451427,168.26412208182788,169.62165673607302,false
100,1.0,168.94695932039323,1.362314905402826,168.25791307572547,169.6202279811283,false
100,1.0,168.88938186205064,1.3935557033121313,168.20850011996424,169.60205582327637,false
100,1.0,168.91562185550458,1.3596327983589163,168.23189795199946,169.59153075035837,false
100,1.0,168.95322797123652,1.3981728357848056,168.24426191888645,169.64243475467126,false
100,1.0,168.93028169714663,1.4058530317687996,168.23122140688037,169.63707443864917,false
100,1.0,168.95635433771656,1.3511781562342264,168.28925063988967,169.6404287961239,false
100,1.0,168.9927341775745,1.347946713882493,168.32071777817845,169.66866449206094,false
100,1.0,168.88140591108916,1.325880522851719,168.2227622735824,169.5486427964341,false
100,1.0,168.93188344446054,1.331576913123655,168.28738323148676,169.6189601446104,false
100,1.0,168.92355249497314,1.3062535644106958,168.26367169570443,169.56992526011513,false
100,1.0,168.93597771067846,1.3528018205797991,168.26604990776667,169.61885172834647,false
100,1.0,169.003279014177,1.3373236333744103,168.33841429252965,169.67573792590406,false
100,1.0,168.92989073434848,1.3189768016308676,168.27548226169637,169.59445906332724,false
100,1.0,168.99755284969805,1.35338812380229,168.32883715723722,169.6822252810395,false
100,1.0,168.94076411461282,1.3579686737807037,168.26474914921238,169.62271782299308,false
100,1.0,168.99836897372634,1.3718603627374364,168.30303483174308,169.6748951944805,false
100,1.0,168.94615206731726,1.3295304262251193,168.28638650049126,169.61591692671638,false
100,1.0,168.86920380185904,1.3484887224263957,168.16948382715844,169.51797254958484,false
100,1.0,168.95765959363806,1.38081656609927,168.2468877217981,169.62770428789736,false
100,1.0,168.91460434147385,1.3441654745628,168.26381237323886,169.60797784780166,false
100,1.0,168.91126500784532,1.3309641625692166,168.2233574991651,169.55432166173432,false
100,1.0,168.89941943539424,1.3303947269326954,168.22124716008688,169.55164188701957,false
100,1.0,168.9448450145294,1.3577629958374757,168.26851584914786,169.62627884498534,false
100,1.0,168.96145561900528,1.362950464205369,168.268185426276,169.63113589048137,false
100,1.0,168.94418165904665,1.3307005823693032,168.27476602030308,169.60546660267238,false
100,1.0,168.84878995025974,1.3279969637762292,168.17996626945404,169.50796323323027,false
100,1.0,169.00625484845085,1.3374590743101464,168.34407509797023,169.68153417228038,false
100,1.0,168.87535667729264,1.3678922821098354,168.2186363621859,169.58652864429573,false
100,1.0,169.0542154863583,1.3446740372893657,168.3787390034297,169.72341304071907,false
100,1.0,168.985842007708,1.314787537368261,168.3206040498277,169.63539158719595,false
100,1.0,168.89786119671498,1.355523580847347,168.2255201614081,169.58104374225545,false
100,1.0,169.01006925598784,1.3500442842312452,168.33236065855323,169.68240494278447,false
100,1.0,168.95080538532383,1.3555604686802951,168.27074307964216,169.62630354832245,false
100,1.0,168.87300886028643,1.3186240780695755,168.22290600656854,169.5415300846381,false
100,1.0,168.96741078605993,1.326436871877121,168.31345960198226,169.63989647385938,false
100,1.0,168.9290394515325,1.3146691755507334,168.27012710293585,169.58479627848658,false
100,1.0,168.9894028178398,1.3759748499475677,168.2890686330033,169.66504348295086,false
100,1.0,168.94419571028976,1.3381410509497869,168.27964898608846,169.61779003703825,false
100,1.0,169.00096745084107,1.3712452550470005,168.32961483506224,169.70086009010924,false
100,1.0,168.88018594554887,1.3602503364958238,168.21165717160338,169.5719075080992,false
100,1.0,169.0748935964242,1.3693708180521469,168.39129802940784,169.76066884745998,false
100,1.0,168.94263744448085,1.3596506265954815,168.24903013604023,169.60868076263571,false
100,1.0,168.94635702410886,1.3427693979528499,168.27744472994027,169.62021412789312,false
100,1.0,168.9272491592419,1.3529003269466386,168.24765173810832,169.60055206505496,false
100,1.0,168.9697921021903,1.3758122186208084,168.25989284551625,169.63570506413706,false
100,1.0,168.96260918820758,1.3314953097080888,168.30898013062267,169.64047544033076,false
100,1.0,168.9420066937471,1.3633724358826953,168.25899612511947,169.62236856100216,false
100,1.0,168.95588886032164,1.3060401219245819,168.3255280190852,169.63156814100978,false
100,1.0,168.94929257324762,1.3419191474112608,168.29645586086895,169.6383750082802,false
100,1.0,168.94608431062903,1.325243515241425,168.29833697730604,169.62358049254746,false
100,1.0,168.93758158591055,1.318055421882974,168.29138429762673,169.6094397195097,false
