ndata,sigma,theta1_median,theta2_median,theta1_iqrs,theta2_iqrs,quartiles1_1,quartiles3_1,quartiles1_2,quartiles3_2,theta1_coverage,theta2_coverage
500,1.0,167.02986497318034,98.07576708453003,1.3554815011453627,1.551790393242328,166.36047585001566,167.71595735116102,97.26139449638436,98.81318488962668,false,false
500,1.0,166.58516814439952,98.20907502368915,1.3275779377992762,1.5238842377922737,165.9142834807591,167.2418614185584,97.40179198199893,98.9256762197912,false,false
500,1.0,166.96480211616586,98.07085833787238,1.351881565699955,1.5134485700457816,166.29168550883648,167.64356707453643,97.29997188940968,98.81342045945546,false,false
500,1.0,166.81199190127,98.1267916355966,1.3397626538186955,1.5086661935398666,166.1374473599077,167.4772100137264,97.33618638393017,98.84485257747004,false,false
500,1.0,166.71174559072102,98.18008568956583,1.3467288237394541,1.5840614238113062,166.0430351001034,167.38976392384285,97.37723401071285,98.96129543452416,false,false
500,1.0,166.7798674339393,98.17327881185004,1.339359472097243,1.5225878166852738,166.1088685209389,167.44822799303614,97.37946428416085,98.90205210084612,false,false
500,1.0,167.0302923079525,98.07458107877868,1.3704017381864162,1.5240537332519608,166.32655789820058,167.696959636387,97.31411970988404,98.838173443136,false,false
500,1.0,166.69554602398046,98.18429438676563,1.352830176708295,1.5235583482465245,166.03874546847615,167.39157564518445,97.39802215780253,98.92158050604905,false,false
500,1.0,166.80286638708932,98.11690988387133,1.3818794486675756,1.4975328258498735,166.12332935125323,167.5052087999208,97.3472083920457,98.84474121789557,false,false
500,1.0,166.95241675360742,98.10517292192819,1.3557623275440847,1.5145661508627626,166.27387567412887,167.62963800167296,97.32200175568782,98.83656790655058,false,false
500,1.0,167.05384073399674,98.07070633707573,1.3457334570641422,1.5412786435218777,166.36322725931709,167.70896071638123,97.29283453140062,98.83411317492249,false,false
500,1.0,166.80751157794384,98.14659162733794,1.3759247632567337,1.5354951319909844,166.1337405917893,167.50966535504602,97.35687925797892,98.8923743899699,false,false
500,1.0,166.77382724037665,98.17092246450518,1.3444171237059948,1.549571668543578,166.0880238170687,167.43244094077468,97.38128750617523,98.9308591747188,false,false
500,1.0,166.7641773079497,98.15106892046632,1.3960372109400794,1.5224294599400423,166.07370642738027,167.46974363832035,97.36649910661913,98.88892856655917,false,false
500,1.0,166.94756168676673,98.0946589603675,1.3466261173215628,1.5204621291696157,166.30223551781586,167.64886163513742,97.31511469113734,98.83557682030695,false,false
500,1.0,166.8933706330387,98.1006226618036,1.3581846793087209,1.487289281804408,166.213053439633,167.57123811894172,97.34681595080204,98.83410523260645,false,false
500,1.0,167.16524780728588,98.02244279820201,1.3369531477347607,1.5264623424406238,166.47490887767827,167.81186202541303,97.22923760589164,98.75569994833226,false,false
500,1.0,166.79908537824244,98.13657319569953,1.3738775753549533,1.5049985222547235,166.1111259512576,167.48500352661256,97.357639063564,98.86263758581872,false,false
500,1.0,166.85767222378044,98.14704244777717,1.3633415323440374,1.53690721333804,166.1898380339406,167.55317956628463,97.34195889261618,98.87886610595422,false,false
500,1.0,166.94498122749098,98.09094471449257,1.3626325396100754,1.5210396806892987,166.27427679342054,167.63690933303062,97.30963222620791,98.83067190689721,false,false
500,1.0,166.95857744294872,98.08343448008368,1.3667344873379648,1.5346001321308194,166.28089954296806,167.64763403030602,97.30113522712682,98.83573535925764,false,false
500,1.0,167.1561546598306,98.05121189076968,1.352920709972409,1.521334623238019,166.48583070259048,167.83875141256289,97.2532210301201,98.77455565335812,false,false
500,1.0,166.60491608177023,98.20207902171967,1.396988814694339,1.5301116978947675,165.9236590323764,167.32064784707075,97.42163189945711,98.95174359735188,false,false
500,1.0,166.72153159404138,98.15423840872052,1.3552459012635438,1.4769442163797066,166.06570166460654,167.42094756587008,97.40150480784399,98.8784490242237,false,false
500,1.0,166.84298206063832,98.09459784237988,1.333615051057592,1.5207648920159613,166.18563088516984,167.51924593622743,97.31264472962025,98.8334096216362,false,false
500,1.0,166.96531198361652,98.09422001052505,1.3507310878248973,1.5260350303667707,166.29104233240434,167.64177342022924,97.34583259810084,98.87186762846761,false,false
500,1.0,167.32949270896015,98.02608935041428,1.3608418769458126,1.5279777878293714,166.63071703156425,167.99155890851006,97.2298033459186,98.75778113374797,false,false
500,1.0,166.96956943287256,98.0733030853433,1.351874676486915,1.5290419387414005,166.29301165078377,167.64488632727068,97.29332822896293,98.82237016770434,false,false
500,1.0,167.0829055746778,98.0893699128479,1.3267154839833495,1.4939799627574644,166.41822230622523,167.74493779020858,97.31926696981671,98.81324693257417,false,false
500,1.0,167.14669625460675,98.06253742662685,1.3736052597899686,1.5678164067423523,166.46008492386156,167.83369018365153,97.24263884413114,98.81045525087349,false,false
500,1.0,166.77490779953774,98.17762832559129,1.3792598416553972,1.5301751071492191,166.09615794514505,167.47541778680045,97.36061879898902,98.89079390613824,false,false
500,1.0,166.4420333442044,98.24045105838889,1.3863481019877497,1.5388233742819182,165.75361511071506,167.1399632127028,97.4639541715052,99.00277754578711,false,false
500,1.0,166.78806494869195,98.15015440967059,1.3572220722344355,1.5611951554100614,166.11397864952562,167.47120072176006,97.3656345528889,98.92682970829897,false,false
500,1.0,167.25282442454773,97.98740135439505,1.3289392740640267,1.552068408874817,166.60459103085438,167.9335303049184,97.19695198705477,98.74902039592959,false,false
500,1.0,166.87560588697613,98.14496827655567,1.3801876934231814,1.5544878876498416,166.17816511782348,167.55835281124666,97.3350329280938,98.88952081574364,false,false
500,1.0,166.907721676471,98.11155159315294,1.3843739335491705,1.5149039989575641,166.2247919764758,167.60916591002498,97.32101658108152,98.83592058003909,false,false
500,1.0,166.9712106526352,98.11275191923028,1.343820650865382,1.5260915046848993,166.29788183337115,167.64170248423653,97.31784944184028,98.84394094652518,false,false
500,1.0,166.5457631358631,98.27280635785047,1.3447534915712254,1.5604705173993096,165.87870750218627,167.2234609937575,97.48255092246022,99.04302143985953,false,false
500,1.0,167.07766831076884,98.05366773107944,1.318592505148814,1.528766994845924,166.4301269607365,167.7487194658853,97.26147179497086,98.79023878981678,false,false
500,1.0,166.9415080289548,98.10226429959522,1.35876071758085,1.5026048693508045,166.26003628621098,167.61879700379183,97.34147289625004,98.84407776560084,false,false
500,1.0,166.79503051236128,98.13280170978024,1.3585278877205837,1.488773065185086,166.1210716538686,167.47959954158918,97.36014347974022,98.8489165449253,false,false
500,1.0,167.16384665430027,98.03156079367541,1.35842963051644,1.5472461874008445,166.49446814240818,167.85289777292462,97.24724931778789,98.79449550518873,false,false
500,1.0,166.86452672150034,98.12325492255783,1.3567249275033362,1.5581201863018208,166.1935524090953,167.55027733659864,97.33106482299449,98.88918500929631,false,false
500,1.0,166.81204513123032,98.12601643994904,1.3756015119611504,1.5268516027240224,166.13010860115156,167.5057101131127,97.33237766070053,98.85922926342455,false,false
500,1.0,166.56460483649,98.20440925218743,1.4005036607783268,1.5050176438657132,165.8704219867661,167.27092564754443,97.42756407056679,98.9325817144325,false,false
500,1.0,166.9633786394515,98.1345650411316,1.3774155527633525,1.512536136651775,166.2589159199195,167.63633147268285,97.35723358909858,98.86976972575036,false,false
500,1.0,166.9760385645202,98.08812330200274,1.3588192906613017,1.5293076139646047,166.30200104347261,167.66082033413392,97.29011153717491,98.81941915113951,false,false
500,1.0,166.6818828505199,98.1800953184453,1.3709980308925935,1.5156611041377204,165.99493128576813,167.36592931666073,97.39814345010254,98.91380455424026,false,false
500,1.0,167.11573400330045,98.06139862841141,1.3627454810227846,1.541864361598627,166.42477625556813,167.78752173659092,97.25374271609321,98.79560707769184,false,false
500,1.0,166.88549764059454,98.10295481095767,1.3173255962172732,1.5268376734536417,166.23243506593877,167.54976066215605,97.30873692015238,98.83557459360603,false,false
500,1.0,167.10346333979174,98.0534314449092,1.3798739120461505,1.52723011827797,166.44591731844184,167.825791230488,97.24138965536628,98.76861977364425,false,false
500,1.0,166.67029780326934,98.18157796702698,1.347223884210706,1.4950228458675383,166.0031551467995,167.3503790310102,97.40315317640693,98.89817602227447,false,false
500,1.0,166.97609115652944,98.06522501561619,1.334971548022736,1.4862709647550076,166.30696571091204,167.64193725893477,97.31440388848276,98.80067485323777,false,false
