ndata,sigma,theta_median,theta_iqrs,quartiles1,quartiles3,theta_coverage
200,1.0,82.00753512136599,1.3578649307555537,81.33336587018546,82.69123080094101,false
200,1.0,82.21886608366923,1.3706548533496345,81.50894829783688,82.87960315118652,false
200,1.0,82.19138837159085,1.311064267781859,81.53824598675601,82.84931025453787,false
200,1.0,82.2507857773549,1.3373140756527846,81.56196033166515,82.89927440731793,false
200,1.0,82.00711938820743,1.348563573458918,81.32848598908694,82.67704956254586,false
200,1.0,82.10546935192585,1.3561533084101,81.42497602007428,82.78112932848438,false
200,1.0,82.07706712707622,1.371062680458195,81.39006576448848,82.76112844494668,false
200,1.0,82.20676467169864,1.3519079524471067,81.51284252391056,82.86475047635767,false
200,1.0,82.13623365485678,1.3465286535176375,81.45047544457768,82.79700409809531,false
200,1.0,82.13725048609606,1.3682952806857713,81.44188397257255,82.81017925325833,false
200,1.0,82.18550534676349,1.3756930065810593,81.49957651612729,82.87526952270835,false
200,1.0,82.22070817082164,1.3465405555289465,81.54823728713406,82.894777842663,false
200,1.0,82.11295761529172,1.3641673004549233,81.4256137493891,82.78978104984402,false
200,1.0,82.121122089086,1.3257637216382108,81.46391877121653,82.78968249285474,false
200,1.0,81.97324349422864,1.3543740579950168,81.31398261188674,82.66835666988176,false
200,1.0,82.09575283131551,1.370134625513984,81.4221201368971,82.79225476241109,false
200,1.0,82.0507520351482,1.362902184431448,81.37329787147613,82.73620005590757,false
200,1.0,82.09468757496875,1.339744978038226,81.41815029423478,82.757895272273,false
200,1.0,82.0414429088829,1.3334624843996465,81.38067924120368,82.71414172560333,false
200,1.0,82.1334873409221,1.3412978145934744,81.45547980308999,82.79677761768346,false
200,1.0,82.0980146780264,1.3282564786958204,81.42737149169479,82.7556279703906,false
200,1.0,82.02652587328045,1.3708226939903625,81.33805960097797,82.70888229496833,false
200,1.0,82.09495067813543,1.381582289894837,81.418903579694,82.80048586958884,false
200,1.0,82.15427868116726,1.3584708065611721,81.44010062460211,82.79857143116328,false
200,1.0,82.05600296842823,1.3432397990054312,81.38701332908454,82.73025312808997,false
200,1.0,82.05323267950142,1.3660505133506717,81.38588742632865,82.75193793967932,false
200,1.0,82.1553830232437,1.337045120735496,81.49307257460819,82.83011769534369,false
200,1.0,82.09636596378401,1.3796142342594067,81.39391215244677,82.77352638670618,false
200,1.0,82.11240081369556,1.3597911721667941,81.43942168928238,82.79921286144918,false
200,1.0,82.18703895928195,1.4079453126359311,81.50815600073476,82.91610131337069,false
200,1.0,82.09895315256334,1.36993166821361,81.40987861077151,82.77981027898512,false
