parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
θ1,151.13931674517207,3.8882148096727343,0.14831353032120684,693.8825423921763,1214.6202066691328,0.9999657776571046,509.45854801187687
θ2,94.70391835202355,7.7465468481665125,0.26775719804566056,934.8500541518184,1269.5475345528016,1.0003298794282784,686.3803628133762
θ1,149.58382254549932,0.7009777882325594,0.023550740628929128,912.7884217380063,1366.4984510590632,1.0009775328052992,195.83531897404126
θ2,97.28349802103737,2.899120807840973,0.1000477357672606,1014.3196057379296,945.3340020157692,1.001613708751392,217.61845220723657
θ1,150.13356068133487,0.32036704570013075,0.010920341641570122,914.072421199408,1315.0126770379602,0.9999514082354922,152.37079866634573
θ2,99.64901690645421,1.2825932905414543,0.04394542974505793,936.5728841088135,955.6312071200489,1.000397607766555,156.12150093495808
θ1,150.110092898717,0.16972986927962558,0.005807600212838365,1073.248670831779,1595.7793330729244,1.000347601667919,96.48913699827196
θ2,98.99212917836374,1.2726188113484667,0.04421806597744003,976.6302210994462,783.839882688698,0.9999929010249351,87.80277093405073
θ1,150.03558659788956,0.06837925497423006,0.0022783063674711125,1048.2312315528736,1453.296356280974,1.0019214632520272,40.991366789960644
θ2,99.64926632015346,0.4731964218804797,0.014502433042430872,1193.1554739544829,1347.606893949342,1.0009880840242291,46.65866862015028
