parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
θ1,147.68767978369547,7.909446996779066,0.3452539581419075,586.266490100563,752.2325074789833,1.0023402773619114,500.2273806318797
θ2,98.25030574887991,3.612371500420103,0.13195910118321658,787.667868388981,1328.7760353178383,1.0018729441792888,672.0715600588576
θ1,152.5690389650316,2.3504380229842035,0.07229886442808894,1197.3542963511761,1390.5192750642116,1.0002756295802218,408.6533434645652
θ2,101.07588704988889,0.7031542437776067,0.031639669940493546,593.387744810702,697.0549350752624,1.000554865110149,202.52141461116108
θ1,149.6820644938015,1.1851110043607092,0.035282497173103076,1347.23640042186,1515.7439805022452,1.0001280801203682,331.5866109824908
θ2,100.05069824395343,0.33448110683403237,0.013011580489391904,737.4144818703637,1041.7799790090291,1.0020967482536751,181.49507306678902
θ1,149.9037308306258,0.8873416872188941,0.03366817894719718,789.8531000695942,1099.7267834935087,1.004974635013291,73.6185199058248
θ2,99.9749669510518,0.1801237506254078,0.007415895613749931,798.4988908856212,1048.433206491143,1.0004206154253192,74.42435370357175
θ1,149.86940002013705,0.3404193133244265,0.010209959993237507,1178.1342290070484,1797.2396514348764,0.9999794562239491,74.69783343945272
θ2,100.00840211081464,0.06871950122690264,0.0024186902742533555,915.5375799662012,1182.705685220396,1.0024154553879816,58.04828683529046
