parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
θ1,149.49644493403318,0.9889949670654798,0.012671758255496175,6082.029465478859,5682.474083133307,1.000485195384236,1561.0958586958056
θ2,100.0324529382614,1.0072164130216656,0.009785162652361326,10629.54374956164,7111.477525581728,0.9999892578701086,2728.322317649292
θ1,150.1833402666155,0.31138623476452193,0.010205670085592412,884.7410495762883,1951.853605259994,1.0016346742218387,100.68749852922366
θ2,100.03426333104018,0.9304664073220857,0.029098949945844818,1021.9295344631255,1625.556379183333,1.0004504349511687,116.30016324833565
θ1,149.75413313076487,0.20057966903716196,0.006318956791323468,1134.237537668202,1316.6578216287262,1.0008428992934597,229.46339018171196
θ2,99.81020441075133,0.9497952695583252,0.02579381558209826,1355.5884305109369,2113.878695917783,1.0004916320600865,274.2440684828924
θ1,149.92664976994496,0.0988505750991993,0.0037682201739345305,584.4032853351157,1207.2219925498794,1.0007772094068332,4.216869441831599
θ2,99.38169984377893,0.8039196342184279,0.0387639364976908,425.32867036420225,662.6297339264096,1.0184984312735543,3.0690372860672523
θ1,150.0246264398876,0.040746292475397405,0.0015382617196734905,858.905628089107,1076.5777312844414,1.0010269513674073,21.594650477425127
θ2,100.34199085976113,0.7669014240279279,0.024766609664726286,956.7097522102929,1346.9641117966041,1.0006137095258205,24.053646910300518
