parameters,2.5%,25.0%,50.0%,75.0%,97.5%
θ1,147.57144076449993,148.80473443613639,149.50451222891525,150.16881136142302,151.47006463328424
θ2,98.03780933405633,99.35451825155116,100.02960235820487,100.6995986243751,102.04460855264631
θ1,149.85080485823738,149.9456966973949,150.09490570498684,150.33160584678475,150.96321825095
θ2,98.22451364314448,99.4092972660187,100.03032337547873,100.66486118436836,101.86015990782842
θ1,149.55347430032236,149.60885026265356,149.69411544384155,149.8370844413658,150.28404518698866
θ2,97.93643691032295,99.16724531012525,99.82144301181616,100.44873543458043,101.66738377817607
θ1,149.8313435122681,149.85541698104677,149.89447188499946,149.96420505489567,150.19402727375893
θ2,97.720883778493,98.85513927459479,99.4128588221706,99.9288371863303,100.9188267699672
θ1,149.98712422618368,149.99711682961285,150.01221539991468,150.03752280299383,150.13965724901823
θ2,98.82550901741342,99.82485112162334,100.35795405328025,100.87415433264304,101.76847759890785
