parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
θ1,149.7898726629133,0.9941855360196304,0.016507530372742198,3620.090647846226,4049.8954453356782,0.999989110684555,829.7251083763983
θ2,99.36368657533177,0.5819379455607419,0.013766267467266991,1768.0208636265106,2943.861648820412,1.0006377883391493,405.2305440354138
θ1,149.32612460574015,0.7582056724705678,0.018986893633516598,1641.5547570272843,2516.3249812944664,1.0007560586340214,377.45568108238314
θ2,100.47724867129621,0.7241364911349557,0.018040309894244808,1663.4972794956975,2324.8136898674243,1.0010502782021828,382.50109898728385
θ1,149.82089354304728,0.39553851923877326,0.012568465864233254,1010.4748247140769,1750.432697546271,1.0003505952996379,221.25570937466102
θ2,99.75915664308215,0.38376692848952554,0.02304542440792514,418.69865270327733,306.3827016553727,1.0034517516398942,91.67914445002788
θ1,149.9841651860449,0.2310260705006077,0.012458718270196595,424.07291445650816,432.7589975720021,1.0014002649204894,68.67577562048716
θ2,99.90909449229005,0.23457855853847992,0.008308959224649286,916.2971628478557,1040.9405585844243,1.0008210049907247,148.3882045097742
θ1,149.98458264409302,0.10182837348347341,0.004829634674719351,587.4307891937758,587.6413153232909,1.0007309276046508,19.562767723250825
θ2,100.1682745567881,0.09954299197687756,0.005399867625423237,395.3070255637673,597.1360646273954,1.0056317532631582,13.164613879171684
